Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
193,Jonathan Isaac,PF,26,ORL,8,0,102,13,40,0.325,6,24,0.25,7,16,0.438,0.4,10,13,0.769,6,21,27,3,7,11,5,13,42,isaacjo01
194,Jaden Ivey,SG,21,DET,8,0,157,32,64,0.5,10,26,0.385,22,38,0.579,0.578,14,18,0.778,7,13,20,22,6,3,14,21,88,iveyja01
195,Andre Jackson Jr.,SG,22,MIL,6,0,48,5,9,0.556,1,5,0.2,4,4,1,0.611,0,0,,4,7,11,4,3,0,3,12,11,jacksan01
196,Gregory Jackson II,PF,19,MEM,1,0,1,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,jacksgg01
197,Isaiah Jackson,C,22,IND,5,0,73,10,18,0.556,0,0,,10,18,0.556,0.556,8,13,0.615,9,13,22,4,1,9,2,15,28,jacksis01
198,Jaren Jackson Jr.,C,24,MEM,11,11,338,74,168,0.44,18,56,0.321,56,112,0.5,0.494,47,57,0.825,19,48,67,25,4,19,20,35,213,jacksja02
199,Reggie Jackson,PG,33,DEN,11,4,264,47,102,0.461,15,42,0.357,32,60,0.533,0.534,9,15,0.6,1,20,21,40,9,4,13,18,118,jacksre01
200,Trayce Jackson-Davis,PF,23,GSW,9,0,73,10,18,0.556,0,0,,10,18,0.556,0.556,11,18,0.611,9,10,19,6,1,5,4,14,31,jackstr02
201,LeBron James,PF,39,LAL,10,10,337,93,164,0.567,19,52,0.365,74,112,0.661,0.625,38,58,0.655,5,80,85,55,13,9,41,15,243,jamesle01
202,Jaime Jaquez Jr.,SF,22,MIA,11,3,252,42,84,0.5,9,32,0.281,33,52,0.635,0.554,7,8,0.875,13,24,37,23,13,3,13,24,100,jaqueja01
203,DaQuan Jeffries,SG,26,NYK,4,0,12,3,5,0.6,1,3,0.333,2,2,1,0.7,0,0,,0,2,2,1,0,0,1,1,7,jeffrda01
204,Ty Jerome,SG,26,CLE,2,0,15,2,4,0.5,0,1,0,2,3,0.667,0.5,0,0,,1,0,1,3,0,0,1,2,4,jeromty01
205,Isaiah Joe,SG,24,OKC,11,0,209,30,76,0.395,25,61,0.41,5,15,0.333,0.559,11,14,0.786,1,20,21,12,9,1,8,14,96,joeis01
206,Cameron Johnson,PF,27,BRK,4,4,115,21,50,0.42,9,28,0.321,12,22,0.545,0.51,6,8,0.75,6,15,21,6,5,0,7,5,57,johnsca02
207,Jalen Johnson,SF,22,ATL,10,7,300,59,99,0.596,11,28,0.393,48,71,0.676,0.652,15,22,0.682,17,63,80,24,10,7,21,25,144,johnsja05
208,Keldon Johnson,SF,24,SAS,10,10,323,60,136,0.441,16,51,0.314,44,85,0.518,0.5,17,25,0.68,8,53,61,43,8,3,12,29,153,johnske04
209,Keyontae Johnson,SF,23,OKC,1,0,6,0,1,0,0,0,,0,1,0,0,0,0,,0,0,0,0,0,0,0,0,0,johnske08
210,Nikola Jokić,C,28,DEN,11,11,382,128,221,0.579,17,52,0.327,111,169,0.657,0.618,57,71,0.803,37,116,153,92,11,8,38,24,330,jokicni01
211,Colby Jones,SG,21,SAC,6,0,51,8,17,0.471,1,4,0.25,7,13,0.538,0.5,2,2,1,5,7,12,2,1,1,3,5,19,jonesco02
212,Damian Jones,C,28,CLE,6,0,34,3,3,1,0,0,,3,3,1,1,1,2,0.5,2,5,7,2,0,1,2,3,7,jonesda03
213,Derrick Jones Jr.,SF,26,DAL,11,11,244,35,71,0.493,16,44,0.364,19,27,0.704,0.606,10,14,0.714,10,25,35,13,6,7,10,12,96,jonesde02
214,Herbert Jones,SF,25,NOP,8,8,248,30,59,0.508,8,27,0.296,22,32,0.688,0.576,21,24,0.875,5,26,31,16,16,13,11,29,89,joneshe01
215,Tre Jones,PG,24,SAS,9,0,232,29,65,0.446,5,20,0.25,24,45,0.533,0.485,16,17,0.941,7,22,29,54,7,4,13,12,79,jonestr01
216,Tyus Jones,PG,27,WAS,10,10,268,39,91,0.429,14,37,0.378,25,54,0.463,0.505,2,4,0.5,4,22,26,51,10,2,9,12,94,jonesty01
217,DeAndre Jordan,C,35,DEN,1,0,12,0,0,,0,0,,0,0,,,1,2,0.5,1,0,1,1,0,0,1,2,1,jordade01
218,Cory Joseph,PG,32,GSW,5,0,26,3,9,0.333,3,6,0.5,0,3,0,0.5,0,1,0,1,1,2,7,1,0,4,4,9,josepco01
219,Nikola Jović,PF,20,MIA,2,1,28,4,8,0.5,3,5,0.6,1,3,0.333,0.688,2,2,1,0,15,15,4,1,0,2,2,13,jovicni01
220,Luke Kennard,SG,27,MEM,8,0,172,21,58,0.362,17,46,0.37,4,12,0.333,0.509,7,7,1,3,20,23,16,5,1,5,4,66,kennalu01
221,Walker Kessler,C,22,UTA,8,8,192,28,51,0.549,2,6,0.333,26,45,0.578,0.569,8,13,0.615,27,36,63,2,0,17,8,17,66,kesslwa01
222,Braxton Key,SF,26,DEN,4,0,10,1,4,0.25,0,1,0,1,3,0.333,0.25,0,0,,0,1,1,3,0,0,0,2,2,keybr01
223,Corey Kispert,SF,24,WAS,9,0,198,31,68,0.456,16,44,0.364,15,24,0.625,0.574,14,17,0.824,5,18,23,13,3,0,12,14,92,kispeco01
224,Maxi Kleber,C,32,DAL,5,1,90,4,16,0.25,3,9,0.333,1,7,0.143,0.344,6,10,0.6,4,17,21,10,1,1,4,8,17,klebima01
225,Kevin Knox,SF,24,DET,2,0,53,12,16,0.75,6,9,0.667,6,7,0.857,0.938,0,0,,1,6,7,2,1,0,2,5,30,knoxke01
226,John Konchar,SF,27,MEM,8,0,144,12,27,0.444,7,16,0.438,5,11,0.455,0.574,0,0,,8,25,33,14,6,5,2,7,31,konchjo01
227,Furkan Korkmaz,SG,26,PHI,8,0,68,7,16,0.438,3,6,0.5,4,10,0.4,0.531,3,5,0.6,1,5,6,3,5,0,6,3,20,korkmfu01
228,Luke Kornet,C,28,BOS,8,0,85,11,15,0.733,0,0,,11,15,0.733,0.733,5,6,0.833,9,17,26,5,3,2,1,8,27,kornelu01
229,Jonathan Kuminga,PF,21,GSW,11,0,221,42,106,0.396,4,23,0.174,38,83,0.458,0.415,38,51,0.745,11,21,32,7,7,4,13,30,126,kuminjo01
230,Kyle Kuzma,PF,28,WAS,10,10,303,96,198,0.485,24,68,0.353,72,130,0.554,0.545,25,32,0.781,12,49,61,30,2,5,22,17,241,kuzmaky01
231,Jock Landale,C,28,HOU,7,0,77,5,18,0.278,2,9,0.222,3,9,0.333,0.333,2,2,1,8,8,16,7,3,2,5,6,14,landajo01
232,Jake LaRavia,PF,22,MEM,5,0,61,7,20,0.35,2,12,0.167,5,8,0.625,0.4,1,2,0.5,3,5,8,2,1,0,2,8,17,laravja01
