Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
289,Malik Monk,SG,25,SAC,9,0,215,39,97,0.402,19,52,0.365,20,45,0.444,0.5,31,37,0.838,8,17,25,49,4,7,20,15,128,monkma01
290,Moses Moody,SG,21,GSW,12,1,202,31,67,0.463,14,40,0.35,17,27,0.63,0.567,10,13,0.769,9,25,34,14,13,3,5,11,86,moodymo01
291,Marcus Morris,PF,34,PHI,3,0,30,2,6,0.333,0,2,0,2,4,0.5,0.333,1,1,1,0,5,5,1,0,1,0,3,5,morrima03
292,Markieff Morris,PF,34,DAL,1,0,4,0,2,0,0,2,0,0,0,,0,0,0,,0,1,1,0,0,0,0,0,0,morrima02
293,Dejounte Murray,SG,27,ATL,10,10,347,85,170,0.5,24,59,0.407,61,111,0.55,0.571,35,41,0.854,6,40,46,60,15,4,27,14,229,murrade01
294,Jamal Murray,PG,26,DEN,7,7,216,42,97,0.433,14,32,0.438,28,65,0.431,0.505,16,19,0.842,3,15,18,52,2,5,16,13,114,murraja01
295,Keegan Murray,SF,23,SAC,9,9,312,50,128,0.391,22,74,0.297,28,54,0.519,0.477,13,15,0.867,18,44,62,17,13,7,11,20,135,murrake02
296,Kris Murray,SF,23,POR,5,0,26,0,2,0,0,1,0,0,1,0,0,0,0,,0,1,1,0,1,1,0,3,0,murrakr01
297,Mike Muscala,C,32,WAS,6,1,64,6,16,0.375,2,8,0.25,4,8,0.5,0.438,4,4,1,2,11,13,4,1,1,6,7,18,muscami01
298,Svi Mykhailiuk,SF,26,BOS,5,0,33,3,11,0.273,2,9,0.222,1,2,0.5,0.364,0,0,,0,4,4,1,1,0,3,1,8,mykhasv01
299,Larry Nance Jr.,C,31,NOP,10,0,157,16,33,0.485,3,9,0.333,13,24,0.542,0.53,3,6,0.5,13,31,44,8,5,1,9,14,38,nancela02
300,Andrew Nembhard,PG,24,IND,11,1,202,36,75,0.48,8,28,0.286,28,47,0.596,0.533,3,4,0.75,4,16,20,44,9,0,16,21,83,nembhan01
301,Aaron Nesmith,SF,24,IND,11,0,263,44,86,0.512,23,50,0.46,21,36,0.583,0.645,12,19,0.632,10,29,39,13,9,7,6,33,123,nesmiaa01
302,Georges Niang,PF,30,CLE,10,1,223,23,68,0.338,12,45,0.267,11,23,0.478,0.426,4,4,1,4,34,38,10,1,1,5,26,62,niangge01
303,Daishen Nix,PG,21,MIN,3,0,7,1,1,1,0,0,,1,1,1,1,0,0,,0,0,0,0,1,0,0,0,2,nixda01
304,Zeke Nnaji,PF,23,DEN,11,0,120,14,28,0.5,1,5,0.2,13,23,0.565,0.518,7,12,0.583,9,19,28,5,2,5,4,12,36,nnajize01
305,Jusuf Nurkić,C,29,PHO,10,10,274,33,84,0.393,7,29,0.241,26,55,0.473,0.435,28,40,0.7,29,63,92,46,14,10,21,34,101,nurkiju01
306,Jordan Nwora,SF,25,IND,3,0,36,6,18,0.333,2,8,0.25,4,10,0.4,0.389,2,3,0.667,1,5,6,4,0,1,5,2,16,nworajo01
307,Royce O'Neale,SF,30,BRK,11,4,346,32,89,0.36,29,75,0.387,3,14,0.214,0.522,2,4,0.5,8,59,67,35,6,9,12,36,95,onealro01
308,Chuma Okeke,SF,25,ORL,5,0,16,1,4,0.25,0,3,0,1,1,1,0.25,0,0,,3,3,6,1,0,0,1,0,2,okekech01
309,Josh Okogie,SG,25,PHO,10,6,237,23,56,0.411,4,23,0.174,19,33,0.576,0.446,26,29,0.897,19,16,35,12,8,5,9,12,76,okogijo01
310,Onyeka Okongwu,C,23,ATL,10,0,225,34,54,0.63,2,8,0.25,32,46,0.696,0.648,24,26,0.923,28,41,69,16,6,10,8,31,94,okongon01
311,Isaac Okoro,SF,23,CLE,6,5,173,21,43,0.488,6,15,0.4,15,28,0.536,0.558,9,13,0.692,12,17,29,13,7,3,6,23,57,okorois01
312,Kelly Olynyk,C,32,UTA,11,0,228,31,53,0.585,9,20,0.45,22,33,0.667,0.67,14,16,0.875,25,41,66,37,12,2,21,32,85,olynyke01
313,Eugene Omoruyi,SF,26,WAS,6,0,48,13,19,0.684,2,5,0.4,11,14,0.786,0.737,5,8,0.625,4,11,15,6,3,1,6,6,33,omorueu01
314,Cedi Osman,SF,28,SAS,11,0,212,33,65,0.508,17,38,0.447,16,27,0.593,0.638,3,5,0.6,3,15,18,15,5,3,6,13,86,osmande01
315,Kelly Oubre Jr.,SF,28,PHI,8,5,232,47,94,0.5,14,37,0.378,33,57,0.579,0.574,22,28,0.786,11,30,41,5,11,3,7,19,130,oubreke01
316,Chris Paul,PG,38,GSW,12,3,333,41,109,0.376,8,40,0.2,33,69,0.478,0.413,15,17,0.882,3,42,45,84,19,1,16,17,105,paulch01
317,Cameron Payne,PG,29,MIL,10,2,181,23,46,0.5,12,24,0.5,11,22,0.5,0.63,4,4,1,1,9,10,21,5,1,10,23,62,payneca01
318,Gary Payton II,SG,31,GSW,11,0,199,29,60,0.483,9,25,0.36,20,35,0.571,0.558,4,6,0.667,13,22,35,12,13,2,6,18,71,paytoga02
319,Filip Petrušev,C,23,PHI,1,0,3,0,0,,0,0,,0,0,,,0,0,,0,1,1,0,0,0,0,0,0,petrufi01
320,Julian Phillips,SF,20,CHI,4,0,10,0,1,0,0,1,0,0,0,,0,0,0,,0,1,1,0,0,0,0,0,0,phillju01
321,Jalen Pickett,SG,24,DEN,5,0,26,6,8,0.75,3,5,0.6,3,3,1,0.938,0,0,,0,4,4,2,1,0,2,3,15,pickeja02
322,Mason Plumlee,C,33,LAC,6,0,102,12,19,0.632,0,0,,12,19,0.632,0.632,6,14,0.429,8,25,33,6,4,1,5,6,30,plumlma01
323,Brandin Podziemski,SG,20,GSW,7,0,91,17,35,0.486,5,12,0.417,12,23,0.522,0.557,4,5,0.8,6,17,23,13,3,0,8,11,43,podzibr01
324,Jakob Poeltl,C,28,TOR,10,10,247,48,72,0.667,0,0,,48,72,0.667,0.667,7,17,0.412,26,53,79,19,6,8,17,28,103,poeltja01
325,Aleksej Pokusevski,PF,22,OKC,4,0,23,0,5,0,0,5,0,0,0,,0,1,2,0.5,0,4,4,1,0,1,3,3,1,pokusal01
326,Jordan Poole,SG,24,WAS,10,10,287,61,148,0.412,20,66,0.303,41,82,0.5,0.48,20,26,0.769,5,19,24,37,13,6,28,31,162,poolejo01
327,Craig Porter Jr.,PG,23,CLE,5,0,42,6,14,0.429,0,1,0,6,13,0.462,0.429,3,8,0.375,1,7,8,6,3,1,3,7,15,portecr01
328,Michael Porter Jr.,SF,25,DEN,11,11,330,70,150,0.467,29,82,0.354,41,68,0.603,0.563,10,13,0.769,21,66,87,18,5,10,11,26,179,portemi01
329,Otto Porter Jr.,SF,30,TOR,5,1,79,7,19,0.368,5,13,0.385,2,6,0.333,0.5,1,1,1,3,11,14,1,3,3,0,7,20,porteot01
330,Bobby Portis,PF,28,MIL,10,0,220,47,98,0.48,7,26,0.269,40,72,0.556,0.515,23,31,0.742,11,51,62,16,11,4,12,22,124,portibo01
331,Kristaps Porziņģis,C,28,BOS,10,10,302,65,115,0.565,20,49,0.408,45,66,0.682,0.652,47,56,0.839,13,49,62,19,4,13,12,34,197,porzikr01
332,Dwight Powell,C,32,DAL,10,1,171,19,26,0.731,1,1,1,18,25,0.72,0.75,25,33,0.758,21,23,44,14,4,8,3,19,64,poweldw01
333,Norman Powell,SG,30,LAC,10,0,244,45,85,0.529,20,44,0.455,25,41,0.61,0.647,18,26,0.692,1,18,19,14,5,5,12,27,128,powelno01
334,Taurean Prince,PF,29,LAL,9,9,272,32,72,0.444,13,40,0.325,19,32,0.594,0.535,7,9,0.778,1,16,17,9,5,5,4,25,84,princta02
335,Payton Pritchard,PG,26,BOS,10,0,205,17,52,0.327,7,31,0.226,10,21,0.476,0.394,6,7,0.857,14,20,34,36,2,0,7,17,47,pritcpa01
336,Olivier-Maxence Prosper,PF,21,DAL,4,0,21,3,8,0.375,1,4,0.25,2,4,0.5,0.438,4,6,0.667,2,2,4,0,0,0,0,3,11,prospol01
337,Immanuel Quickley,SG,24,NYK,10,0,244,50,112,0.446,19,51,0.373,31,61,0.508,0.531,26,29,0.897,4,33,37,38,5,0,13,14,145,quickim01
338,Lester Quinones,SG,23,GSW,1,0,5,2,3,0.667,1,2,0.5,1,1,1,0.833,0,0,,0,0,0,0,0,0,1,0,5,quinole01
339,Julius Randle,PF,29,NYK,10,10,340,58,171,0.339,17,66,0.258,41,105,0.39,0.389,47,67,0.701,23,80,103,49,10,0,30,26,180,randlju01
340,Duop Reath,C,27,POR,2,0,24,4,14,0.286,3,11,0.273,1,3,0.333,0.393,0,0,,1,3,4,3,0,1,2,4,11,reathdu01
341,Austin Reaves,SG,25,LAL,11,8,349,54,121,0.446,18,48,0.375,36,73,0.493,0.521,28,34,0.824,12,40,52,50,13,1,27,16,154,reaveau01
342,Cam Reddish,SF,24,LAL,11,5,252,26,63,0.413,11,32,0.344,15,31,0.484,0.5,17,21,0.81,6,25,31,12,14,3,6,19,80,reddica01
343,Paul Reed,C,24,PHI,10,0,130,20,34,0.588,0,3,0,20,31,0.645,0.588,1,2,0.5,16,29,45,10,4,4,8,22,41,reedpa01
344,Naz Reid,C,24,MIN,10,0,218,48,89,0.539,19,43,0.442,29,46,0.63,0.646,15,16,0.938,9,33,42,8,6,4,10,13,130,reidna01
345,Jared Rhoden,SG,24,DET,5,0,30,5,9,0.556,1,4,0.25,4,5,0.8,0.611,2,2,1,1,3,4,3,0,0,2,4,13,rhodeja01
346,Nick Richards,C,26,CHO,10,0,185,32,40,0.8,0,0,,32,40,0.8,0.8,27,34,0.794,17,47,64,4,4,13,13,32,91,richani01
347,Josh Richardson,SG,30,MIA,8,1,199,22,57,0.386,8,30,0.267,14,27,0.519,0.456,7,8,0.875,1,20,21,22,3,2,9,16,59,richajo01
348,Duncan Robinson,SF,29,MIA,11,3,314,54,120,0.45,29,80,0.363,25,40,0.625,0.571,9,10,0.9,4,29,33,27,5,2,12,23,146,robindu01
349,Jerome Robinson,SG,26,GSW,1,0,5,0,2,0,0,0,,0,2,0,0,0,0,,1,1,2,0,0,0,0,0,0,robinje01
350,Mitchell Robinson,C,25,NYK,10,10,296,28,52,0.538,0,0,,28,52,0.538,0.538,10,25,0.4,58,56,114,5,14,10,4,22,66,robinmi01
351,Orlando Robinson,C,23,MIA,2,0,30,4,9,0.444,1,1,1,3,8,0.375,0.5,2,2,1,2,6,8,7,1,1,3,4,11,robinor01
352,Jeremiah Robinson-Earl,PF,23,NOP,4,1,76,10,18,0.556,6,9,0.667,4,9,0.444,0.722,4,4,1,5,12,17,4,2,0,6,7,30,robinje02
353,David Roddy,PF,22,MEM,11,1,249,41,89,0.461,8,32,0.25,33,57,0.579,0.506,7,9,0.778,12,29,41,12,6,6,9,22,97,roddyda01
354,Ryan Rollins,PG,21,WAS,6,0,46,8,17,0.471,1,2,0.5,7,15,0.467,0.5,13,16,0.813,2,8,10,10,8,2,7,6,30,rolliry01
355,Derrick Rose,PG,35,MEM,4,0,71,12,37,0.324,5,10,0.5,7,27,0.259,0.392,3,4,0.75,4,4,8,11,2,1,6,3,32,rosede01
356,Terry Rozier,SG,29,CHO,5,5,179,42,90,0.467,8,31,0.258,34,59,0.576,0.511,18,22,0.818,4,16,20,25,3,2,11,4,110,roziete01
357,Rayan Rupert,SG,19,POR,3,0,9,0,3,0,0,1,0,0,2,0,0,1,2,0.5,0,0,0,0,0,0,0,0,1,ruperra01
358,D'Angelo Russell,PG,27,LAL,11,11,361,73,157,0.465,22,64,0.344,51,93,0.548,0.535,29,35,0.829,3,33,36,74,5,7,19,26,197,russeda01
359,Matt Ryan,SF,26,NOP,11,1,253,32,71,0.451,26,59,0.441,6,12,0.5,0.634,12,12,1,5,22,27,13,4,1,13,23,102,ryanma01
360,Domantas Sabonis,C,27,SAC,9,9,313,62,106,0.585,3,10,0.3,59,96,0.615,0.599,35,59,0.593,33,79,112,66,8,9,32,31,162,sabondo01
361,Luka Šamanić,PF,24,UTA,5,0,17,5,10,0.5,2,5,0.4,3,5,0.6,0.6,1,1,1,0,4,4,1,1,0,0,1,13,samanlu01
362,Jermaine Samuels,SF,25,HOU,3,0,20,2,3,0.667,0,1,0,2,2,1,0.667,2,2,1,1,2,3,0,0,1,0,3,6,samueje01
363,Dario Šarić,C,29,GSW,12,2,252,39,93,0.419,17,53,0.321,22,40,0.55,0.511,15,17,0.882,22,57,79,23,6,5,11,26,110,saricda01
364,Olivier Sarr,C,24,OKC,4,0,44,1,1,1,0,0,,1,1,1,1,4,6,0.667,3,15,18,1,0,5,2,6,6,sarrol01
365,Marcus Sasser,PG,23,DET,12,0,239,44,91,0.484,19,46,0.413,25,45,0.556,0.588,5,5,1,2,30,32,35,10,1,9,21,112,sassema01
366,Admiral Schofield,PF,26,ORL,1,0,3,2,4,0.5,1,3,0.333,1,1,1,0.625,0,0,,0,0,0,0,0,0,0,0,5,schofad01
367,Dennis Schröder,PG,30,TOR,10,10,323,54,125,0.432,17,47,0.362,37,78,0.474,0.5,29,35,0.829,8,19,27,77,10,2,19,16,154,schrode01
368,Dereon Seabron,SG,23,NOP,5,0,52,4,13,0.308,1,2,0.5,3,11,0.273,0.346,5,6,0.833,1,6,7,4,2,1,0,4,14,seabrde01
369,Alperen Şengün,C,21,HOU,9,9,283,75,125,0.6,4,16,0.25,71,109,0.651,0.616,21,34,0.618,23,51,74,54,9,4,19,25,175,sengual01
370,Brice Sensabaugh,SF,20,UTA,1,0,2,0,2,0,0,0,,0,2,0,0,0,0,,1,1,2,0,0,0,0,0,0,sensabr01
371,Collin Sexton,SG,25,UTA,11,0,216,45,98,0.459,10,32,0.313,35,66,0.53,0.51,35,40,0.875,7,18,25,34,3,2,22,19,135,sextoco01
372,Landry Shamet,SG,26,WAS,6,0,95,17,35,0.486,9,24,0.375,8,11,0.727,0.614,1,2,0.5,1,7,8,7,5,1,3,11,44,shamela01
373,Day'Ron Sharpe,C,22,BRK,11,0,154,30,52,0.577,0,2,0,30,50,0.6,0.577,18,28,0.643,28,45,73,5,4,6,15,24,78,sharpda01
374,Shaedon Sharpe,SG,20,POR,10,9,396,65,153,0.425,23,66,0.348,42,87,0.483,0.5,42,52,0.808,17,36,53,34,10,6,32,28,195,sharpsh01
375,Ben Sheppard,SG,22,IND,3,0,32,5,12,0.417,3,8,0.375,2,4,0.5,0.542,0,0,,1,3,4,2,0,0,0,4,13,sheppbe01
376,Pascal Siakam,PF,29,TOR,10,10,352,76,162,0.469,12,48,0.25,64,114,0.561,0.506,31,44,0.705,12,61,73,48,9,1,27,25,195,siakapa01
377,Ben Simmons,PG,27,BRK,6,6,191,19,36,0.528,0,0,,19,36,0.528,0.528,1,4,0.25,16,49,65,40,3,5,15,16,39,simmobe01
378,Anfernee Simons,SG,24,POR,1,1,27,6,14,0.429,2,6,0.333,4,8,0.5,0.5,4,4,1,1,1,2,4,2,0,0,2,18,simonan01
379,Jericho Sims,C,25,NYK,5,0,16,1,2,0.5,0,0,,1,2,0.5,0.5,1,3,0.333,1,7,8,1,0,0,0,1,3,simsje01
380,Marcus Smart,PG,29,MEM,11,11,329,51,119,0.429,18,61,0.295,33,58,0.569,0.504,17,21,0.81,3,24,27,55,22,4,37,35,137,smartma01
381,Dennis Smith Jr.,PG,26,BRK,10,0,170,23,57,0.404,6,17,0.353,17,40,0.425,0.456,7,8,0.875,8,15,23,30,7,2,11,23,59,smithde03
382,Dru Smith,SG,26,MIA,7,0,127,15,32,0.469,7,16,0.438,8,16,0.5,0.578,2,2,1,6,7,13,14,8,3,5,11,39,smithdr01
383,Ish Smith,PG,35,CHO,4,0,50,3,7,0.429,0,0,,3,7,0.429,0.429,0,0,,2,6,8,5,3,0,6,5,6,smithis01
384,Jabari Smith Jr.,PF,20,HOU,9,9,253,45,93,0.484,16,44,0.364,29,49,0.592,0.57,5,9,0.556,14,49,63,12,5,4,11,30,111,smithja05
385,Jalen Smith,C,23,IND,9,0,145,39,55,0.709,10,15,0.667,29,40,0.725,0.8,11,15,0.733,15,39,54,11,4,3,10,22,99,smithja04
386,Nick Smith Jr.,SG,19,CHO,4,0,28,4,10,0.4,3,6,0.5,1,4,0.25,0.55,0,0,,0,2,2,2,1,0,1,1,11,smithni01
387,Jeremy Sochan,PG,20,SAS,11,11,304,47,104,0.452,8,19,0.421,39,85,0.459,0.49,12,17,0.706,15,42,57,50,10,4,27,36,114,sochaje01
388,Jaden Springer,SG,21,PHI,6,0,49,3,14,0.214,0,3,0,3,11,0.273,0.214,2,4,0.5,4,4,8,5,1,4,4,9,8,sprinja01
389,Lamar Stevens,PF,26,BOS,3,0,17,4,7,0.571,1,1,1,3,6,0.5,0.643,0,0,,4,1,5,2,1,0,3,3,9,stevela01
390,Isaiah Stewart,PF,22,DET,12,12,396,55,116,0.474,21,50,0.42,34,66,0.515,0.565,17,24,0.708,23,63,86,18,1,8,26,36,148,stewais01
391,Julian Strawther,SF,21,DEN,8,0,79,16,36,0.444,9,25,0.36,7,11,0.636,0.569,0,2,0,0,7,7,4,1,2,1,7,41,strawju01
392,Max Strus,SF,27,CLE,10,10,349,51,119,0.429,29,79,0.367,22,40,0.55,0.55,12,14,0.857,6,54,60,34,7,6,10,24,143,strusma01
393,Jalen Suggs,SG,22,ORL,10,10,280,41,103,0.398,15,44,0.341,26,59,0.441,0.471,24,30,0.8,10,33,43,27,21,6,19,27,121,suggsja01
394,Cole Swider,SF,24,MIA,1,0,2,2,3,0.667,1,2,0.5,1,1,1,0.833,0,0,,0,1,1,0,0,0,0,0,5,swideco01
395,Jae'Sean Tate,SF,28,HOU,9,0,183,23,46,0.5,10,23,0.435,13,23,0.565,0.609,5,7,0.714,8,26,34,11,14,4,2,23,61,tateja01
396,Jayson Tatum,PF,25,BOS,10,10,362,102,194,0.526,35,88,0.398,67,106,0.632,0.616,45,57,0.789,6,83,89,39,12,2,27,23,284,tatumja01
397,Terry Taylor,PF,24,CHI,3,0,6,1,1,1,0,0,,1,1,1,1,0,0,,0,1,1,0,0,0,0,0,2,taylote01
398,Garrett Temple,SG,37,TOR,3,0,9,2,3,0.667,0,0,,2,3,0.667,0.667,2,2,1,0,1,1,0,1,0,0,0,6,templga01
399,Dalen Terry,SG,21,CHI,4,0,11,3,8,0.375,1,4,0.25,2,4,0.5,0.438,0,2,0,0,4,4,3,0,0,1,1,7,terryda01
400,Daniel Theis,C,31,IND,1,0,8,1,4,0.25,0,1,0,1,3,0.333,0.25,0,0,,0,0,0,0,0,0,0,1,2,theisda01
401,Cam Thomas,SG,22,BRK,8,7,259,79,165,0.479,17,53,0.321,62,112,0.554,0.53,40,47,0.851,2,28,30,17,7,5,10,15,215,thomaca02
402,Amen Thompson,SF,21,HOU,4,0,67,9,22,0.409,2,11,0.182,7,11,0.636,0.455,5,8,0.625,1,10,11,6,2,1,6,9,25,thompam01
403,Ausar Thompson,SF,21,DET,12,12,385,57,132,0.432,4,27,0.148,53,105,0.505,0.447,26,36,0.722,47,77,124,44,16,23,26,40,144,thompau01
404,Klay Thompson,SF,33,GSW,11,11,315,60,142,0.423,26,76,0.342,34,66,0.515,0.514,15,18,0.833,7,32,39,20,4,6,20,25,161,thompkl01
405,Tristan Thompson,PF,32,CLE,8,0,81,8,11,0.727,0,0,,8,11,0.727,0.727,4,7,0.571,8,13,21,5,1,3,6,10,20,thomptr01
406,JT Thor,PF,21,CHO,10,1,199,18,46,0.391,8,23,0.348,10,23,0.435,0.478,0,4,0,12,26,38,9,4,4,3,14,44,thorjt01
407,Matisse Thybulle,SF,26,POR,10,9,197,22,47,0.468,15,39,0.385,7,8,0.875,0.628,4,5,0.8,2,11,13,10,9,7,5,11,63,thybuma01
408,Xavier Tillman Sr.,C,25,MEM,7,5,181,27,64,0.422,7,20,0.35,20,44,0.455,0.477,4,9,0.444,14,33,47,17,11,6,10,20,65,tillmxa01
409,Obi Toppin,PF,25,IND,11,11,250,50,81,0.617,8,26,0.308,42,55,0.764,0.667,14,17,0.824,10,26,36,6,9,3,5,19,122,toppiob01
410,Karl-Anthony Towns,PF,28,MIN,10,10,335,77,170,0.453,22,61,0.361,55,109,0.505,0.518,30,33,0.909,10,85,95,23,10,6,27,28,206,townska01
411,Gary Trent Jr.,SG,25,TOR,8,1,217,31,84,0.369,15,42,0.357,16,42,0.381,0.458,6,15,0.4,4,16,20,7,8,1,8,10,83,trentga02
412,P.J. Tucker,PF,38,LAC,9,3,160,6,17,0.353,5,14,0.357,1,3,0.333,0.5,3,3,1,13,21,34,4,6,3,3,21,20,tuckepj01
413,Myles Turner,C,27,IND,11,11,293,69,134,0.515,21,53,0.396,48,81,0.593,0.593,38,48,0.792,16,66,82,16,6,19,18,39,197,turnemy01
414,Hunter Tyson,PF,23,DEN,4,0,11,1,3,0.333,0,2,0,1,1,1,0.333,0,0,,0,3,3,0,0,0,0,4,2,tysonhu01
415,Stanley Umude,SG,24,DET,8,0,62,7,16,0.438,5,10,0.5,2,6,0.333,0.594,8,9,0.889,0,9,9,1,1,1,3,10,27,umudest01
416,Jonas Valančiūnas,C,31,NOP,11,11,266,51,100,0.51,10,25,0.4,41,75,0.547,0.56,17,20,0.85,19,71,90,22,3,17,16,28,129,valanjo01
417,Fred VanVleet,PG,29,HOU,9,9,323,53,138,0.384,28,76,0.368,25,62,0.403,0.486,21,24,0.875,2,29,31,71,5,3,15,19,155,vanvlfr01
418,Devin Vassell,SG,23,SAS,9,8,260,56,113,0.496,22,51,0.431,34,62,0.548,0.593,22,30,0.733,4,28,32,25,9,1,12,8,156,vassede01
419,Sasha Vezenkov,PF,28,SAC,8,0,112,19,43,0.442,11,30,0.367,8,13,0.615,0.57,1,1,1,1,15,16,2,4,2,1,10,50,vezenal01
420,Gabe Vincent,PG,27,LAL,4,0,113,11,28,0.393,1,14,0.071,10,14,0.714,0.411,1,2,0.5,2,2,4,12,6,0,2,10,24,vincega01
421,Nikola Vučević,C,33,CHI,11,11,382,83,171,0.485,12,37,0.324,71,134,0.53,0.52,16,21,0.762,33,87,120,32,11,7,18,31,194,vucevni01
422,Dean Wade,PF,27,CLE,9,3,155,10,28,0.357,9,26,0.346,1,2,0.5,0.518,2,4,0.5,6,25,31,5,6,2,4,21,31,wadede01
423,Franz Wagner,SF,22,ORL,10,10,338,69,165,0.418,19,58,0.328,50,107,0.467,0.476,31,37,0.838,14,46,60,34,11,3,22,25,188,wagnefr01
424,Moritz Wagner,C,26,ORL,10,0,190,47,72,0.653,7,19,0.368,40,53,0.755,0.701,21,26,0.808,15,31,46,10,5,5,14,27,122,wagnemo01
425,Ish Wainright,SF,29,POR,1,0,3,0,1,0,0,1,0,0,0,,0,0,0,,0,0,0,0,1,0,0,1,0,wainris01
426,Jabari Walker,SF,21,POR,10,0,145,22,47,0.468,4,16,0.25,18,31,0.581,0.511,11,13,0.846,11,29,40,4,10,6,7,20,59,walkeja01
427,Jarace Walker,PF,20,IND,3,0,27,4,12,0.333,0,2,0,4,10,0.4,0.333,2,2,1,1,6,7,5,1,1,0,2,10,walkeja02
428,Lonnie Walker IV,SG,25,BRK,10,0,212,55,108,0.509,23,50,0.46,32,58,0.552,0.616,17,22,0.773,1,28,29,21,7,5,12,9,150,walkelo01
429,Cason Wallace,SG,20,OKC,11,1,246,34,52,0.654,11,20,0.55,23,32,0.719,0.76,8,8,1,6,22,28,18,7,5,7,20,87,wallaca01
430,P.J. Washington,PF,25,CHO,10,10,330,69,143,0.483,17,52,0.327,52,91,0.571,0.542,17,23,0.739,13,42,55,21,4,6,13,26,172,washipj01
431,TyTy Washington Jr.,PG,22,MIL,1,0,3,1,2,0.5,1,1,1,0,1,0,0.75,0,0,,0,0,0,0,0,0,1,0,3,washity02
432,Yuta Watanabe,SF,29,PHO,10,0,191,19,46,0.413,14,37,0.378,5,9,0.556,0.565,6,7,0.857,6,22,28,5,4,3,10,19,58,watanyu01
433,Lindy Waters III,SG,26,OKC,5,0,29,2,6,0.333,2,6,0.333,0,0,,0.5,0,0,,0,0,0,2,0,0,0,1,6,waterli01
434,Trendon Watford,PF,23,BRK,6,0,74,14,26,0.538,2,5,0.4,12,21,0.571,0.577,6,6,1,6,15,21,12,4,1,6,11,36,watfotr01
435,Peyton Watson,SF,21,DEN,11,0,159,23,41,0.561,4,13,0.308,19,28,0.679,0.61,3,6,0.5,3,16,19,7,6,11,6,14,53,watsope01
436,Victor Wembanyama,PF,20,SAS,11,11,330,76,176,0.432,17,60,0.283,59,116,0.509,0.48,36,47,0.766,23,79,102,27,11,26,43,28,205,wembavi01
437,Blake Wesley,SG,20,SAS,3,0,18,3,8,0.375,0,1,0,3,7,0.429,0.375,1,2,0.5,1,1,2,3,0,1,1,2,7,weslebl01
438,Russell Westbrook,PG,35,LAC,10,10,307,60,129,0.465,10,32,0.313,50,97,0.515,0.504,10,17,0.588,15,55,70,57,19,3,33,29,140,westbru01
439,Coby White,PG,23,CHI,11,11,348,51,129,0.395,20,63,0.317,31,66,0.47,0.473,17,21,0.81,3,30,33,48,12,3,17,28,139,whiteco01
440,Derrick White,SG,29,BOS,8,8,240,35,74,0.473,17,41,0.415,18,33,0.545,0.588,13,17,0.765,7,23,30,36,8,9,10,17,100,whitede01
441,Cam Whitmore,SF,19,HOU,3,0,23,3,9,0.333,0,3,0,3,6,0.5,0.333,1,2,0.5,0,3,3,1,1,0,2,1,7,whitmca01
442,Aaron Wiggins,SG,25,OKC,9,0,96,14,27,0.519,3,10,0.3,11,17,0.647,0.574,3,4,0.75,2,10,12,5,3,1,4,9,34,wiggiaa01
443,Andrew Wiggins,SF,28,GSW,12,12,313,51,129,0.395,5,33,0.152,46,96,0.479,0.415,18,36,0.5,23,25,48,11,5,5,19,29,125,wiggian01
444,Grant Williams,PF,25,DAL,11,11,312,41,82,0.5,30,58,0.517,11,24,0.458,0.683,12,19,0.632,8,30,38,11,3,8,10,29,124,willigr01
445,Jalen Williams,PF,22,OKC,11,11,361,71,135,0.526,12,33,0.364,59,102,0.578,0.57,36,42,0.857,3,41,44,39,8,3,25,34,190,willija06
446,Jaylin Williams,C,21,OKC,6,0,87,8,23,0.348,4,15,0.267,4,8,0.5,0.435,5,6,0.833,2,20,22,9,4,2,3,13,25,willija07
447,Jeenathan Williams,SG,24,HOU,2,0,13,4,7,0.571,0,2,0,4,5,0.8,0.571,1,2,0.5,0,0,0,1,1,0,0,0,9,willije02
448,Kenrich Williams,PF,29,OKC,1,0,15,4,7,0.571,1,3,0.333,3,4,0.75,0.643,0,0,,0,0,0,2,0,0,1,3,9,willike04
449,Mark Williams,C,22,CHO,10,10,251,58,78,0.744,0,0,,58,78,0.744,0.744,28,40,0.7,39,51,90,11,10,7,12,22,144,willima07
450,Patrick Williams,PF,22,CHI,11,5,253,23,69,0.333,10,35,0.286,13,34,0.382,0.406,11,14,0.786,6,28,34,14,12,9,11,18,67,willipa01
451,Robert Williams,C,26,POR,6,0,119,17,26,0.654,0,0,,17,26,0.654,0.654,7,9,0.778,11,27,38,5,7,7,7,17,41,williro04
452,Vince Williams Jr.,SG,23,MEM,4,0,32,2,8,0.25,1,7,0.143,1,1,1,0.313,7,8,0.875,0,5,5,4,1,3,2,4,12,willivi01
453,Ziaire Williams,SF,22,MEM,10,8,256,30,85,0.353,13,45,0.289,17,40,0.425,0.429,10,11,0.909,7,44,51,11,5,5,16,22,83,willizi02
454,Zion Williamson,PF,23,NOP,9,9,279,77,149,0.517,0,1,0,77,148,0.52,0.517,38,64,0.594,26,33,59,38,8,1,25,25,192,willizi01
455,Jalen Wilson,PF,23,BRK,2,0,7,0,1,0,0,0,,0,1,0,0,0,0,,0,1,1,0,0,1,0,0,0,wilsoja03
